"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"198","R Tip: Use coefplot {coefplot} to visualise the co-efficients and std.errors of a linear model. #rstats #datascience http://t.co/qnLQHrPPkn",FALSE,74,NA,2015-06-15 17:30:48,FALSE,NA,"610499712148353024",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","R_Programming",32,FALSE,FALSE,NA,NA
"216","R has a new logo! 
http://t.co/ieSIpMEnhB #rstats http://t.co/GuV7yjbin6",FALSE,20,NA,2015-05-15 16:51:02,FALSE,NA,"599255679149289472",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","R_Programming",32,FALSE,FALSE,NA,NA
"27","Learn R By Intensive Practice is now on Udemy!  #rstats #datascience https://t.co/elP3Hbnnfm https://t.co/aKimVipfLQ",FALSE,32,NA,2017-01-10 06:58:15,FALSE,NA,"818713548675129344",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","R_Programming",31,FALSE,FALSE,NA,NA
"71","R Tip: Use missing() to check if a mandatory argument is missing in a function call. #rstats #DataScience https://t.co/f7QC7yWtRX",FALSE,81,NA,2016-03-10 03:33:45,FALSE,NA,"707771398010187776",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","R_Programming",31,FALSE,FALSE,NA,NA
"130","R Tip: Use outlierTest {car} to find out outlier observations based on a linear model #rstats #DataScience http://t.co/8LF0Dakt7Z",FALSE,46,NA,2015-09-17 17:54:24,FALSE,NA,"644570111941054464",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","R_Programming",31,FALSE,FALSE,NA,NA
"157","R Tip: Cluster analysis of famous datasets enhanced by {dendextend} pkg #rstats #datascience 
https://t.co/ptP2JLPMvE http://t.co/CJPpMmKAQ7",FALSE,38,NA,2015-08-03 06:05:54,FALSE,NA,"628084358277017600",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","R_Programming",31,FALSE,FALSE,NA,NA
"165","A difference between statistics and machine learning, datamining etc. #rstats #datascience http://t.co/okZ0x7D2HI http://t.co/A7kDJ8JwVc",FALSE,36,NA,2015-07-27 03:02:12,FALSE,NA,"625501412709916672",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","R_Programming",31,FALSE,FALSE,NA,NA
"78","Back to the basics: Strategies to speedup R Code! https://t.co/krYSs1Se3x #rstats #DataScience https://t.co/3sd17YgT9G",FALSE,60,NA,2016-01-22 14:10:04,FALSE,NA,"690536912096854016",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","R_Programming",30,FALSE,FALSE,NA,NA
"122","A good handout to learn how various non-parametric tests work http://t.co/MaVAd6F7Vx #statistics #datascience",FALSE,48,NA,2015-10-12 03:51:36,FALSE,NA,"653417707799318528",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","R_Programming",30,FALSE,FALSE,NA,NA
"146","R Tip: When subsetting a column from dataframe, add 'drop=F' to retain the class. See pic: #rstats #datascience http://t.co/RiN5D3WNVi",FALSE,69,NA,2015-08-13 14:00:02,FALSE,NA,"631827554689650688",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","R_Programming",30,FALSE,FALSE,NA,NA
